,period,short_desc,temp,desc
0,ThisAfternoon,Sunny,High: 92 °F,"This Afternoon: Sunny, with a high near 92. Light and variable wind becoming west 5 to 10 mph. "
1,Tonight,Mostly Clear,Low: 61 °F,"Tonight: Mostly clear, with a low around 61. West wind 9 to 14 mph becoming light west southwest  after midnight. "
2,Tuesday,Sunny,High: 80 °F,"Tuesday: Sunny, with a high near 80. Calm wind becoming west 5 to 9 mph in the afternoon. "
3,TuesdayNight,Mostly Clear,Low: 59 °F,"Tuesday Night: Mostly clear, with a low around 59. West southwest wind 6 to 13 mph. "
4,Wednesday,Sunny,High: 76 °F,"Wednesday: Sunny, with a high near 76. West wind 5 to 11 mph. "
5,WednesdayNight,Mostly Clear,Low: 60 °F,"Wednesday Night: Mostly clear, with a low around 60."
6,Thursday,Sunny,High: 78 °F,"Thursday: Sunny, with a high near 78."
7,ThursdayNight,Clear,Low: 59 °F,"Thursday Night: Clear, with a low around 59."
